ParentTopic,ComparedToTopic,IndexofSimilarity
6,29,0.016001652937089585
6,30,0.014941367253528423
6,31,0.04575467225589537
6,32,0.0539501600703665
6,33,0.021631430174527354
6,34,0.012967303030675741
6,35,0.027339270558753386
6,36,0.024192303400088735
6,37,0.0519830206393984
6,38,0.0045796700924180785
6,39,0.027929234654702654
6,40,0.05277441194365909
6,41,0.0065863776717591605
6,42,0.01085606721294401
6,43,0.04165144588183755
6,44,0.02378067311297581
6,45,0.03993812587298344
6,46,0.052188402513292466
6,47,0.058589747466365055
6,48,0.014942041811112392
6,49,0.010778534829104645
6,50,0.03223346873221587
6,51,0.0
6,52,0.0
6,53,0.021733154896907234
6,54,0.0
6,55,0.0
6,56,0.0
6,57,0.0
6,58,0.0
6,59,0.0
6,60,0.0
6,61,0.0
6,62,0.0
6,63,0.0
6,64,0.0
6,65,0.0
6,66,0.0
6,67,0.0
6,68,0.0
6,69,0.0
6,70,0.0
6,71,0.0
6,72,0.0
6,73,0.0
6,74,0.0
6,75,0.0
6,76,0.0
6,77,0.0
7,8,0.30435657694648427
7,9,0.08569282228763632
7,10,0.01206359660747675
7,11,0.028350439380867305
7,12,0.00931326504498176
7,13,0.014318108731519036
7,14,0.0253544885444402
7,15,0.05876263510345541
7,16,0.03296416277369045
7,17,0.02236584650173123
7,18,0.02488820564276516
7,19,0.013613260779705412
7,20,0.019445152042497554
7,21,0.15218252581451308
7,22,0.09546520323569614
7,23,0.03693327658555632
7,24,0.020656633486239015
7,25,0.02556122372047343
7,26,0.04692715670517666
7,27,0.0755320658657423
7,28,0.09422860668365914
7,29,0.031085458951495865
7,30,0.0064706342582974445
7,31,0.06066018530021664
7,32,0.05285823600498864
7,33,0.02516540454450886
7,34,0.012977409509458943
7,35,0.0096419100490926
7,36,0.0062618135933729955
7,37,0.032532098570940464
7,38,0.04210455104890788
7,39,0.26585946006015776
7,40,0.15058060115683825
7,41,0.07096409289716923
7,42,0.14138370685886714
7,43,0.021709142182169624
7,44,0.6698425789429725
7,45,0.019003762947575723
7,46,0.03352441918020993
7,47,0.04055809162583372
7,48,0.05378954310310074
7,49,0.07136875617959058
7,50,0.02964301811622288
7,51,0.1656314098120586
7,52,0.005941212910137166
7,53,0.14490629534444704
7,54,0.0
7,55,0.0
7,56,0.1858498964189557
7,57,0.0
7,58,0.0
7,59,0.0
7,60,0.019564433784621745
7,61,0.0
7,62,0.0
7,63,0.0
7,64,0.0
7,65,0.0
7,66,0.0
7,67,0.0
7,68,0.0
7,69,0.0
7,70,0.0
7,71,0.0
7,72,0.0
7,73,0.0
7,74,0.0
7,75,0.0
7,76,0.0
7,77,0.0
8,9,0.3136026089782844
8,10,0.01632754406762759
8,11,0.08750589499107156
8,12,0.02429000181522296
8,13,0.03430320108203503
8,14,0.11587171073911398
8,15,0.22009552423275386
8,16,0.20040430509764162
8,17,0.11197431139830856
8,18,0.03995995678885753
8,19,0.023915701778165592
8,20,0.04282266119268697
8,21,0.20293878028998574
8,22,0.12910372082930527
8,23,0.08559494212261383
8,24,0.04275973029605549
8,25,0.070864702286857
8,26,0.08409347551179389
8,27,0.1193563148237073
8,28,0.14260604421836537
8,29,0.07782957528566556
8,30,0.04264230564497111
8,31,0.08599344910690147
8,32,0.09281739129208279
8,33,0.04663733720414221
8,34,0.02277693836987609
8,35,0.029165929586564682
8,36,0.014160074275482095
8,37,0.05055640545332529
8,38,0.0842674764198517
8,39,0.5016812202349661
8,40,0.07047715535944361
8,41,0.057331825466789395
8,42,0.2440140784098267
8,43,0.0428456072379553
8,44,0.2983649572122622
8,45,0.14953427861555457
8,46,0.06276892178788603
8,47,0.10917650111580722
8,48,0.15234951306024386
8,49,0.02623252449203577
8,50,0.048021467676808295
8,51,0.0522685664120379
8,52,0.002493861124318961
8,53,0.022470603973012926
8,54,0.0
8,55,0.0
8,56,0.0029226646567311098
8,57,0.0
8,58,0.0
8,59,0.0
8,60,0.009601386028661668
8,61,0.0
8,62,0.0
8,63,0.0
8,64,0.0
8,65,0.0
8,66,0.0
8,67,0.0
8,68,0.0
8,69,0.0
8,70,0.0
8,71,0.0
8,72,0.0
8,73,0.0
8,74,0.0
8,75,0.0
8,76,0.0
